Date,Open,High,Low,Close
15-July-2011,,,,7006.75,
18-July-2011,,,,7022.25,
19-July-2011,,,,7050.79,
20-July-2011,,,,6988.77,
21-July-2011,,,,6958.91,
22-July-2011,,,,7046.12,
25-July-2011,,,,7080.31,
26-July-2011,,,,7008.61,
27-July-2011,,,,7024.48,
28-July-2011,,,,6962.95,
29-July-2011,,,,6915.31,
1-August-2011,,,,6913.85,
2-August-2011,,,,6807.83,
3-August-2011,,,,6785.59,
4-August-2011,,,,6734.16,
5-August-2011,,,,6588.85,
8-August-2011,,,,6488.60,
9-August-2011,,,,6406.07,
10-August-2011,,,,6554.22,
11-August-2011,,,,6543.72,
12-August-2011,,,,6513.68,
16-August-2011,,,,6397.33,
17-August-2011,,,,6341.81,
18-August-2011,,,,6211.55,
19-August-2011,,,,6127.10,
22-August-2011,,,,6203.67,
23-August-2011,,,,6262.43,
24-August-2011,,,,6228.70,
25-August-2011,,,,6173.77,
26-August-2011,,,,6034.86,
29-August-2011,,,,6184.25,
30-August-2011,,,,6273.60,
2-September-2011,,,,6324.61,
5-September-2011,,,,6356.77,
6-September-2011,,,,6394.39,
7-September-2011,,,,6473.52,
8-September-2011,,,,6490.25,
9-September-2011,,,,6435.48,
12-September-2011,,,,6317.28,
13-September-2011,,,,6319.25,
14-September-2011,,,,6332.34,
15-September-2011,,,,6367.04,
16-September-2011,,,,6390.12,
19-September-2011,,,,6371.73,
20-September-2011,,,,6429.34,
21-September-2011,,,,6476.46,
22-September-2011,,,,6275.65,
23-September-2011,,,,6222.80,
26-September-2011,,,,6131.37,
27-September-2011,,,,6229.77,
28-September-2011,,,,6175.08,
29-September-2011,,,,6165.39,
30-September-2011,,,,6129.59,
3-October-2011,,,,6013.42,
4-October-2011,,,,5936.18,
5-October-2011,,,,5878.83,
7-October-2011,,,,5959.28,
10-October-2011,,,,6040.31,
11-October-2011,,,,6069.61,
12-October-2011,,,,6154.40,
13-October-2011,,,,6156.30,
14-October-2011,,,,6189.92,
17-October-2011,,,,6189.49,
18-October-2011,,,,6114.42,
19-October-2011,,,,6194.56,
20-October-2011,,,,6153.52,
21-October-2011,,,,6111.87,
24-October-2011,,,,6091.78,
25-October-2011,,,,6116.43,
26-October-2011,,,,6181.64,
28-October-2011,,,,6274.93,
31-October-2011,,,,6297.99,
1-November-2011,,,,6252.75,
2-November-2011,,,,6253.79,
3-November-2011,,,,6251.21,
4-November-2011,,,,6298.39,
8-November-2011,,,,6311.51,
9-November-2011,,,,6232.69,
11-November-2011,,,,6162.35,
14-November-2011,,,,6063.75,
15-November-2011,,,,5907.19,
16-November-2011,,,,5851.92,
17-November-2011,,,,5775.92,
18-November-2011,,,,5716.45,
21-November-2011,,,,5610.31,
22-November-2011,,,,5629.33,
23-November-2011,,,,5514.11,
24-November-2011,,,,5591.33,
25-November-2011,,,,5612.63,
28-November-2011,,,,5696.92,
29-November-2011,,,,5665.29,
30-November-2011,,,,5627.69,
1-December-2011,,,,5682.11,
2-December-2011,,,,5763.40,
5-December-2011,,,,5760.54,
7-December-2011,,,,5771.80,
8-December-2011,,,,5669.70,
9-December-2011,,,,5620.85,
12-December-2011,,,,5513.91,
13-December-2011,,,,5482.20,
14-December-2011,,,,5430.05,
15-December-2011,,,,5369.61,
16-December-2011,,,,5277.27,
19-December-2011,,,,5172.10,
20-December-2011,,,,5076.04,
21-December-2011,,,,5141.29,
22-December-2011,,,,5181.57,
23-December-2011,,,,5185.19,
26-December-2011,,,,5228.23,
27-December-2011,,,,5192.36,
28-December-2011,,,,5137.18,
29-December-2011,,,,5118.99,
30-December-2011,,,,5135.05,
2-January-2012,,,,5131.60,
3-January-2012,,,,5256.02,
4-January-2012,,,,5264.86,
5-January-2012,,,,5264.17,
6-January-2012,,,,5259.24,
7-January-2012,,,,5297.62,
9-January-2012,,,,5331.41,
10-January-2012,,,,5451.08,
11-January-2012,,,,5505.52,
12-January-2012,,,,5519.59,
13-January-2012,,,,5582.34,
16-January-2012,,,,5580.65,
17-January-2012,,,,5655.32,
18-January-2012,,,,5589.89,
19-January-2012,,,,5669.99,
20-January-2012,,,,5680.07,
23-January-2012,,,,5683.20,
24-January-2012,,,,5761.91,
25-January-2012,,,,5834.04,
27-January-2012,,,,5872.36,
30-January-2012,,,,5756.98,
31-January-2012,,,,5871.70,
1-February-2012,,,,5937.19,
2-February-2012,,,,5969.76,
3-February-2012,,,,6046.10,
6-February-2012,,,,6122.57,
7-February-2012,,,,6073.11,
8-February-2012,,,,6161.39,
9-February-2012,,,,6239.57,
10-February-2012,,,,6246.61,
13-February-2012,,,,6275.06,
14-February-2012,,,,6347.22,
15-February-2012,,,,6480.68,
16-February-2012,,,,6548.02,
17-February-2012,,,,6544.56,
21-February-2012,,,,6604.34,
22-February-2012,,,,6375.69,
23-February-2012,,,,6340.54,
24-February-2012,,,,6300.07,
27-February-2012,,,,6109.52,
28-February-2012,,,,6317.42,
29-February-2012,,,,6386.82,
1-March-2012,,,,6353.15,
2-March-2012,,,,6345.43,
3-March-2012,,,,6359.29,
5-March-2012,,,,6271.17,
6-March-2012,,,,6201.47,
7-March-2012,,,,6196.55,
9-March-2012,,,,6330.15,
12-March-2012,,,,6397.06,
13-March-2012,,,,6474.44,
14-March-2012,,,,6495.34,
15-March-2012,,,,6405.36,
16-March-2012,,,,6361.59,
19-March-2012,,,,6300.56,
20-March-2012,,,,6335.90,
21-March-2012,,,,6459.33,
22-March-2012,,,,6312.62,
23-March-2012,,,,6350.92,
26-March-2012,,,,6249.17,
27-March-2012,,,,6245.06,
28-March-2012,,,,6190.94,
29-March-2012,,,,6200.87,
30-March-2012,,,,6346.38,
2-April-2012,,,,6414.81,
3-April-2012,,,,6475.50,
4-April-2012,,,,6473.87,
9-April-2012,,,,6386.76,
10-April-2012,,,,6370.45,
11-April-2012,,,,6330.39,
12-April-2012,,,,6383.95,
13-April-2012,,,,6337.97,
16-April-2012,,,,6388.94,
17-April-2012,,,,6435.22,
18-April-2012,,,,6464.86,
19-April-2012,,,,6480.93,
20-April-2012,,,,6417.72,
23-April-2012,,,,6310.31,
24-April-2012,,,,6301.98,
25-April-2012,,,,6267.10,
26-April-2012,,,,6247.89,
27-April-2012,,,,6240.80,
28-April-2012,,,,6272.33,
30-April-2012,,,,6315.85,
2-May-2012,,,,6298.95,
3-May-2012,,,,6234.75,
4-May-2012,,,,6100.80,
7-May-2012,,,,6132.58,
8-May-2012,,,,6053.89,
9-May-2012,,,,5994.50,
10-May-2012,,,,5998.32,
11-May-2012,,,,5948.71,
14-May-2012,,,,5888.95,
15-May-2012,,,,5925.77,
16-May-2012,,,,5879.42,
17-May-2012,,,,5880.57,
18-May-2012,,,,5864.72,
21-May-2012,,,,5888.63,
22-May-2012,,,,5854.18,
23-May-2012,,,,5830.22,
24-May-2012,,,,5874.78,
25-May-2012,,,,5900.51,
28-May-2012,,,,5971.77,
29-May-2012,,,,5963.50,
30-May-2012,,,,5886.92,
31-May-2012,,,,5907.95,
1-June-2012,,,,5821.63,
4-June-2012,,,,5809.23,
5-June-2012,,,,5828.46,
6-June-2012,,,,5932.30,
7-June-2012,,,,5975.23,
8-June-2012,,,,5988.21,
11-June-2012,,,,5976.48,
12-June-2012,,,,6013.37,
13-June-2012,,,,6000.94,
