Historical Mutual Fund NAV of KOTAK GOLD ETF,
scheme:- KOTAK GOLD ETF,
Start Date:- 27-07-2007,
End Date:- 24-11-2020,
NAV Date,NAV (Rs)
13-03-2013,280.4834
12-03-2013,280.1001
11-03-2013,279.0693
08-03-2013,279.544
07-03-2013,281.6827
06-03-2013,280.4451
05-03-2013,281.904
04-03-2013,282.7996
01-03-2013,279.1911
28-02-2013,279.25
27-02-2013,282.4395
26-02-2013,281.7182
25-02-2013,280.8292
22-02-2013,280.654
21-02-2013,278.5597
20-02-2013,282.0471
18-02-2013,284.7711
15-02-2013,286.6014
14-02-2013,288.4575
13-02-2013,289.0172
12-02-2013,288.5418
11-02-2013,290.7194
08-02-2013,291.2093
07-02-2013,290.5831
06-02-2013,289.354
05-02-2013,291.7361
04-02-2013,287.8622
01-02-2013,289.797
31-01-2013,291.0787
30-01-2013,291.1644
29-01-2013,290.9099
28-01-2013,291.2609
24-01-2013,294.4331
23-01-2013,296.5377
22-01-2013,295.2411
21-01-2013,290.4816
18-01-2013,291.2134
17-01-2013,293.6131
16-01-2013,293.9787
15-01-2013,292.6733
14-01-2013,290.9427
11-01-2013,290.7654
10-01-2013,290.1539
09-01-2013,291.9396
08-01-2013,292.1586
07-01-2013,290.3922
04-01-2013,286.1314
03-01-2013,292.7921
02-01-2013,292.1643
01-01-2013,291.5175
31-12-2012,291.4881
28-12-2012,290.9867
27-12-2012,290.4021
26-12-2012,292.226
24-12-2012,292.866
21-12-2012,290.4846
20-12-2012,292.3455
19-12-2012,293.0751
18-12-2012,297.864
17-12-2012,295.1318
14-12-2012,295.2289
13-12-2012,294.1431
12-12-2012,297.3184
11-12-2012,297.0989
10-12-2012,297.0291
07-12-2012,294.4133
06-12-2012,295.2354
05-12-2012,297.4576
04-12-2012,300.0754
03-12-2012,299.942
30-11-2012,301.4985
29-11-2012,304.4554
27-11-2012,311.0178
26-11-2012,310.9593
23-11-2012,306.9997
22-11-2012,305.1664
21-11-2012,304.9058
20-11-2012,304.5842
19-11-2012,303.0802
16-11-2012,300.7918
15-11-2012,302.9072
12-11-2012,304.7573
09-11-2012,301.1185
08-11-2012,298.6952
07-11-2012,300.2929
06-11-2012,295.6327
05-11-2012,290.8322
02-11-2012,293.5435
01-11-2012,296.3384
31-10-2012,297.6459
30-10-2012,297.1565
29-10-2012,295.0291
25-10-2012,294.6264
23-10-2012,294.7591
22-10-2012,296.5291
19-10-2012,298.0669
18-10-2012,296.4891
17-10-2012,295.2852
16-10-2012,293.9975
15-10-2012,297.1758
12-10-2012,298.143
11-10-2012,300.221
10-10-2012,299.3817
09-10-2012,297.007
08-10-2012,295.8605
05-10-2012,295.9728
04-10-2012,297.8183
03-10-2012,298.3116
01-10-2012,299.6945
28-09-2012,300.7373
27-09-2012,299.5884
26-09-2012,302.7429
25-09-2012,303.0045
24-09-2012,300.352
21-09-2012,306.2191
20-09-2012,306.612
18-09-2012,305.6508
17-09-2012,305.8715
14-09-2012,310.3515
13-09-2012,307.1073
12-09-2012,308.2247
11-09-2012,307.6338
10-09-2012,306.9632
07-09-2012,301.6946
06-09-2012,306.152
05-09-2012,302.4825
04-09-2012,300.9656
03-09-2012,299.6092
31-08-2012,295.8939
30-08-2012,295.4013
29-08-2012,296.7358
28-08-2012,297.2003
27-08-2012,296.7663
24-08-2012,295.7083
23-08-2012,294.0297
22-08-2012,291.9458
21-08-2012,289.2869
17-08-2012,288.8431
16-08-2012,288.0186
14-08-2012,288.189
13-08-2012,288.3969
10-08-2012,285.7108
09-08-2012,285.589
08-08-2012,284.4892
07-08-2012,287.2789
06-08-2012,286.0879
03-08-2012,287.1106
02-08-2012,287.2356
01-08-2012,287.4686
31-07-2012,290.0258
30-07-2012,287.1454
27-07-2012,287.4044
26-07-2012,287.3685
25-07-2012,286.7983
24-07-2012,282.5416
23-07-2012,281.0764
20-07-2012,280.0839
19-07-2012,280.5891
18-07-2012,280.2998
17-07-2012,281.9945
16-07-2012,279.0242
13-07-2012,281.8151
12-07-2012,279.7148
11-07-2012,279.9883
10-07-2012,285.235
09-07-2012,283.9751
06-07-2012,282.8763
05-07-2012,285.4991
04-07-2012,283.1939
03-07-2012,283.0629
29-06-2012,284.133
28-06-2012,286.7903
27-06-2012,288.1909
26-06-2012,290.273
25-06-2012,285.1687
22-06-2012,287.6755
21-06-2012,289.8595
20-06-2012,290.3343
19-06-2012,292.8027
18-06-2012,289.8685
15-06-2012,290.6531
14-06-2012,290.2575
13-06-2012,289.472
12-06-2012,286.4356
11-06-2012,283.0811
08-06-2012,280.8212
07-06-2012,286.7926
06-06-2012,290.692
05-06-2012,277.1958
04-06-2012,276.9829
01-06-2012,278.9327
31-05-2012,284.1044
30-05-2012,278.8578
29-05-2012,281.1307
28-05-2012,280.4735
25-05-2012,279.5733
24-05-2012,281.3661
23-05-2012,279.0522
22-05-2012,277.5525
21-05-2012,279.0154
18-05-2012,279.6125
17-05-2012,270.3503
16-05-2012,268.3133
15-05-2012,270.4603
14-05-2012,270.5133
11-05-2012,273.1311
10-05-2012,273.18
09-05-2012,273.0469
08-05-2012,276.8598
07-05-2012,279.7266
04-05-2012,281.6652
03-05-2012,281.4914
02-05-2012,281.5646
30-04-2012,280.7748
27-04-2012,280.2479
26-04-2012,278.7399
25-04-2012,277.1952
24-04-2012,278.3478
23-04-2012,274.4224
20-04-2012,274.5693
19-04-2012,274.3574
18-04-2012,273.1034
17-04-2012,274.6139
16-04-2012,274.1271
13-04-2012,276.4538
12-04-2012,274.2044
11-04-2012,274.5106
10-04-2012,271.1425
09-04-2012,268.1526
04-04-2012,268.494
03-04-2012,272.7856
30-03-2012,273.0624
29-03-2012,272.1891
28-03-2012,274.5089
27-03-2012,277.25
26-03-2012,273.4222
22-03-2012,267.7841
